,uid,follower
1,481936705,699859
2,2877695,337684
3,517491339,303737
4,1748304036,4637
5,310275805,195845
6,131058159,472774
7,106685726,718326
8,1289012110,95032
9,454143774,359176
10,345037564,66259
11,7454319,119213
12,335772243,128073
13,607249381,70391
14,543296770,347516
15,481153145,470003
16,625979507,252399
17,236602327,637908
18,1858682,1545418
19,385925172,24850
20,602119635,26265
21,524053474,60736
22,283753310,881494
23,390741861,8214
24,14229967,652070
25,2316849,956
26,395591089,60166
27,435214140,60823
28,2082741655,10099
29,198403849,1583
30,496035658,159932
31,483522694,31911
32,591610354,155009
33,250111460,3124576
34,774729,244055
35,547173382,1055747
36,1312425578,78
37,521206626,57527
38,517608713,39003
39,508500385,276240
40,433967666,1565
41,483301783,656099
42,454755309,1463313
43,2075997933,53688
44,294086042,210363
45,3009298,50581
46,687151693,7553
47,373103803,170462
48,7920565,141686
49,475369185,5467
50,265059948,2513157
51,16671656,789516
52,552026468,220577
53,642892779,67256
54,364680842,74931
55,436215650,122423
56,491307403,46570
57,493805437,161076
58,397633962,42929
59,17996988,122704
60,514256503,3606
61,1448364925,28329
62,405279108,68001
63,85361061,27778
64,397088224,45751
65,86635269,41182
66,491254344,15232
67,20203471,399
68,62986950,325531
69,355646031,99618
70,5034200,309
71,543815523,28546
72,378885845,1669735
73,690810700,3382
74,39112946,254655
75,668383032,41200
76,5870268,2695685
77,504323253,305970
78,526626097,323018
79,192090,381151
80,12598849,77252
81,15967711,1783008
82,286290081,4706
83,20165629,7873905
84,18337466,192151
85,18690024,595512
86,517327498,12969894
87,650966649,174468
88,390371228,1396488
89,651039864,1182726
90,494436551,21358
91,401881681,44208
92,269290007,1550
93,494915055,28388
94,23823165,1978
95,452215100,111370
96,702959201,5297
97,490176501,219419
98,27880221,375720
99,1507944372,46825
100,605685871,56213
101,38448327,64251
102,513395871,1263
103,31271589,62195
104,4134324,295966
105,66605322,349239
106,517937049,17008
107,426732823,58593
108,41976200,203757
109,414336759,1460049
110,1674866915,14704
111,627744686,77335
112,404194769,180092
113,303740257,588174
114,329519036,653870
115,667021215,29327
116,302108580,2622
117,14065484,1845
118,501879357,34104
119,52165725,1406312
120,503984205,33799
121,675972806,21612
122,43645887,1113172
123,189866857,531443
124,108876708,16795
125,146979897,257634
126,11799651,338850
127,384123438,24574
128,213845897,874311
129,95313268,10891
130,2073852843,12437
131,97735670,275
132,443285454,135250
133,303292147,69462
134,235630215,1299702
135,14804670,2750082
136,526044134,70532
137,7788379,4156389
138,103388721,710078
139,654391,140901
140,15021038,56668
141,291042076,357239
142,102512379,42008
143,448175398,10531
144,254463269,4129737
145,484242006,2036
146,419163775,54320
147,410558000,535165
148,1365965192,130818
149,54768146,10654
150,1109061483,8115
151,487511093,1205966
152,441631812,195675
153,630874464,162753
154,326081112,1295185
155,26630260,3397
156,661849085,246125
157,437758034,2065
158,1103272707,73491
159,1222214921,2372
160,374377163,368177
161,910705,189896
162,602082725,9789
163,388094867,117808
164,472919330,3711
165,1952851792,29615
166,105588685,379485
167,30520341,64063
168,1634298255,1413
169,384894981,111543
170,470549042,146773
171,258150656,3031071
172,395188578,114886
173,402576555,940809
174,478269351,462513
175,396607455,13055
176,527350821,8697
177,277301527,45799
178,39413292,54579
179,50092850,328576
180,687318487,148685
181,2066911559,15331
182,25126508,161550
183,4390920,86684
184,29480328,2190
185,245945,4423
186,5500182,45804
187,472110205,180661
188,73884967,9873
189,700643010,10689
190,515019371,250389
191,415762753,10438
192,672416566,27699
193,1928240084,189
194,838792,93638
195,518656772,58183
196,335567719,358970
197,492841900,2237
198,602056099,624
199,471151393,52799
200,397490386,555802
201,1426178487,8941
202,471099088,2690
203,3417539,4955
204,431268590,198
205,515269622,102904
206,430443132,13070
207,1820482312,90
208,699213714,2927
209,690661734,40500
210,11130880,71398
211,670562659,162010
212,66878451,31859
213,481425807,105709
214,384068749,447179
215,501459589,127940
216,698344118,382
217,472761116,11234
218,700800216,60659
219,527190367,3511
220,27744027,183287
221,160187496,4573
222,438838611,41987
223,494096334,33814
224,474496561,7949
225,1895447416,2275
226,544288159,883
227,351190028,14193
228,519942364,3150
229,686700728,1943
230,1996722487,212
231,543572851,3118
232,10457071,12894
233,637327408,128283
234,1215892713,18156
235,476747885,3452
236,609052399,127767
237,12177425,590537
238,1456529052,67620
239,486588320,96244
240,691007239,17427
241,88225156,19154
242,544434859,27343
243,496147436,1581
244,363852103,369810
245,471285754,34572
246,7223194,450147
247,57797019,45447
248,1993043920,8740
249,423539225,13085
250,672604526,2391
251,471664269,5056
252,396599607,37070
253,432597324,49158
254,170560057,274660
255,274310388,41833
256,125526,1858062
257,434185303,172728
258,1586989078,993
259,353017413,106574
260,662660667,50580
261,333858062,5448
262,447297362,66442
263,23326926,576710
264,67299944,11219
265,588598062,1950
266,386251043,60829
267,1508988764,262
268,477328270,566168
269,106601491,942
270,1187565153,1042
271,93775305,8988
272,72844725,353768
273,1779855341,13846
274,34215955,59989
275,702104885,125211
276,1121471623,1206
277,669110163,2651
278,2016841403,126452
279,522557713,29849
280,637623364,38
281,1056045775,56003
282,595658483,169461
283,32930226,101532
284,691876929,44902
285,524210123,27037
286,90183256,613867
287,673420980,62102
288,486257145,473660
289,151482404,161483
290,618407096,26407
291,519978853,21448
292,435419181,22367
293,1751480368,7477
294,565871909,1186
295,473749310,25644
296,300223719,55532
297,7031818,125
298,267778743,13276
299,689962773,4534
300,568234520,696
301,1454271217,28326
302,40427625,898394
303,38053181,925096
304,95256449,360445
305,696648800,794642
306,1357115005,171189
307,429392011,756623
308,2699952,10181
309,33937791,15611
310,338076817,18370
311,2046539153,6913
312,609159646,26785
313,1062844106,600
314,357598071,41251
315,634950455,20228
316,74529609,176033
317,22359114,1299
318,586883695,7138
319,346352847,42276
320,306310955,40933
321,2200736,2318479
322,129259501,1353460
323,385959977,337169
324,8377712,50877
325,39665558,169214
326,22179720,263879
327,388987410,6508
328,37515731,6523
329,28309402,1638
330,630292924,2374
331,517760331,19581
332,389484088,4928
333,595015973,15008
334,480423911,170721
335,427494870,751342
336,395619513,538347
337,1246752779,10464
338,2398145,292
339,95252741,27096
340,231777846,665
341,1894771543,8745
342,436492907,39104
343,583498327,239
344,2069259666,230
